Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan,1/4/2018,10,1,N,HB_HOUSTON,HU,53.93
Jan,1/4/2018,10,2,N,HB_HOUSTON,HU,54.17
Jan,1/4/2018,10,3,N,HB_HOUSTON,HU,55.15
Jan,1/4/2018,10,4,N,HB_HOUSTON,HU,54.54
Jan,1/4/2018,11,1,N,HB_HOUSTON,HU,60.19
Jan,1/4/2018,11,2,N,HB_HOUSTON,HU,55.94
Jan,1/4/2018,11,3,N,HB_HOUSTON,HU,52.86
Jan,1/4/2018,11,4,N,HB_HOUSTON,HU,48.32
Jan,1/4/2018,12,1,N,HB_HOUSTON,HU,45.01
Jan,1/4/2018,12,2,N,HB_HOUSTON,HU,43.06
Jan,1/4/2018,12,3,N,HB_HOUSTON,HU,41.34
Jan,1/4/2018,12,4,N,HB_HOUSTON,HU,40.61
Jan,1/4/2018,13,1,N,HB_HOUSTON,HU,39.98
Jan,1/4/2018,13,2,N,HB_HOUSTON,HU,39.45
Jan,1/4/2018,13,3,N,HB_HOUSTON,HU,38.48
Jan,1/4/2018,13,4,N,HB_HOUSTON,HU,38.06
Jan,1/4/2018,14,1,N,HB_HOUSTON,HU,38.46
Jan,1/4/2018,14,2,N,HB_HOUSTON,HU,38.13
Jan,1/4/2018,14,3,N,HB_HOUSTON,HU,36.81
Jan,1/4/2018,14,4,N,HB_HOUSTON,HU,37.37
Jan,1/4/2018,15,1,N,HB_HOUSTON,HU,37.11
Jan,1/4/2018,15,2,N,HB_HOUSTON,HU,37.36
Jan,1/4/2018,15,3,N,HB_HOUSTON,HU,36.92
Jan,1/4/2018,15,4,N,HB_HOUSTON,HU,37.34
Jan,1/4/2018,16,1,N,HB_HOUSTON,HU,27.63
Jan,1/4/2018,16,2,N,HB_HOUSTON,HU,32.11
Jan,1/4/2018,16,3,N,HB_HOUSTON,HU,25.18
Jan,1/4/2018,16,4,N,HB_HOUSTON,HU,33.46
Jan,1/4/2018,17,1,N,HB_HOUSTON,HU,35.16
Jan,1/4/2018,17,2,N,HB_HOUSTON,HU,38.98
Jan,1/4/2018,17,3,N,HB_HOUSTON,HU,40.37
Jan,1/4/2018,17,4,N,HB_HOUSTON,HU,41.62
